Lead_ID,Lead_Source,Industry,Company_Size,Budget,Interaction_Count,Response_Time,Location,Engagement_Score,Previous_Contact_History,Conversion_Probability_True,Conversion_Status,Lead_Value_Score,Interaction_Velocity,Engagement_Per_Interaction,High_Intent_Lead
LEAD0055,Email,Finance,Medium,29300.0,4,7.0,Europe,56,0,0.3147,0,16408.0,0.5,11.2,0
LEAD0056,LinkedIn,Retail,Small,69500.0,12,9.1,Asia-Pacific,35,2,0.407,1,24325.0,1.188118811881188,2.6923076923076925,0
LEAD0057,Website,Finance,Small,7200.0,5,5.9,North America,32,1,0.3523,0,2304.0,0.7246376811594203,5.333333333333333,0
LEAD0058,Website,Tech,Medium,5100.0,7,8.8,Asia-Pacific,37,0,0.4321,0,1887.0,0.7142857142857142,4.625,0
LEAD0059,Website,Healthcare,Medium,50800.0,6,1.8,North America,80,0,0.8466,1,40640.0,2.142857142857143,11.428571428571429,1
LEAD0060,Website,Finance,Small,24100.0,12,41.4,Europe,65,1,0.6213,1,15665.0,0.2830188679245283,5.0,0
LEAD0061,Email,Manufacturing,Small,13500.0,6,0.5,North America,48,1,0.7109,1,6480.0,4.0,6.857142857142857,0
LEAD0062,Website,Manufacturing,Small,19000.0,8,8.0,North America,1,1,0.1279,0,190.0,0.8888888888888888,0.1111111111111111,0
LEAD0063,LinkedIn,Healthcare,Medium,29400.0,7,2.9,North America,38,2,0.4154,1,11172.0,1.794871794871795,4.75,0
LEAD0064,Email,Finance,Small,31700.0,7,0.8,North America,62,1,0.8441,1,19654.0,3.888888888888889,7.75,0
LEAD0065,Website,Retail,Small,52500.0,8,12.8,North America,62,0,0.59,1,32550.0,0.5797101449275363,6.888888888888889,0
LEAD0066,Email,Tech,Medium,13100.0,7,48.0,Asia-Pacific,62,1,0.3916,1,8122.0,0.14285714285714285,7.75,0
LEAD0067,Website,Finance,Medium,8900.0,6,16.7,North America,28,1,0.4203,1,2492.0,0.33898305084745767,4.0,0
LEAD0068,LinkedIn,Finance,Medium,22400.0,3,3.6,Europe,59,1,0.6236,1,13216.0,0.6521739130434783,14.75,0
LEAD0069,Website,Manufacturing,Medium,12700.0,4,8.3,North America,35,1,0.5551,0,4445.0,0.4301075268817204,7.0,0
LEAD0070,Referral,Tech,Large,20100.0,3,0.7,Middle East,55,1,0.8987,1,11055.0,1.7647058823529411,13.75,0
LEAD0071,LinkedIn,Healthcare,Large,12900.0,5,9.2,Middle East,40,0,0.4613,0,5160.0,0.4901960784313726,6.666666666666667,0
LEAD0072,Website,Retail,Medium,5300.0,7,1.4,North America,76,2,0.7573,1,4028.0,2.916666666666667,9.5,1
LEAD0073,Website,Finance,Medium,14700.0,3,19.1,Europe,62,0,0.4999,0,9114.0,0.14925373134328357,15.5,0
LEAD0074,LinkedIn,Tech,Small,25500.0,7,0.8,North America,52,1,0.7688,0,13260.0,3.888888888888889,6.5,0
LEAD0075,Cold Call,Manufacturing,Large,34100.0,7,0.2,Middle East,83,0,0.9529,1,28303.0,5.833333333333334,10.375,1
LEAD0076,Cold Call,Healthcare,Small,15600.0,8,23.8,Europe,48,0,0.2093,0,7488.0,0.3225806451612903,5.333333333333333,0
LEAD0077,LinkedIn,Healthcare,Small,5600.0,6,34.4,North America,27,2,0.1666,0,1512.0,0.16949152542372883,3.857142857142857,0
LEAD0078,Website,Tech,Small,12700.0,3,1.2,North America,76,0,0.7188,0,9652.0,1.3636363636363635,19.0,1
LEAD0079,Email,Finance,Small,32900.0,3,4.0,North America,60,0,0.3628,0,19740.0,0.6,15.0,0
LEAD0080,Website,Finance,Large,12600.0,8,16.3,North America,49,0,0.7343,1,6174.0,0.4624277456647399,5.444444444444445,0
LEAD0081,LinkedIn,Tech,Medium,25800.0,4,9.4,Asia-Pacific,42,1,0.7824,1,10836.0,0.3846153846153846,8.4,0
LEAD0082,Cold Call,Tech,Medium,16200.0,9,35.9,Europe,65,1,0.324,0,10530.0,0.24390243902439027,6.5,0
LEAD0083,Website,Education,Medium,7500.0,4,6.0,North America,71,0,0.3777,1,5325.0,0.5714285714285714,14.2,0
LEAD0084,Website,Tech,Small,33800.0,4,0.1,North America,40,1,0.6671,1,13520.0,3.6363636363636362,8.0,0
LEAD0085,Website,Tech,Small,3800.0,7,0.3,North America,66,2,0.9161,1,2508.0,5.384615384615384,8.25,0
LEAD0086,Website,Healthcare,Medium,16900.0,7,10.1,North America,60,0,0.5976,1,10140.0,0.6306306306306306,7.5,0
LEAD0087,Cold Call,Retail,Medium,6700.0,5,16.8,Asia-Pacific,38,1,0.3589,1,2546.0,0.28089887640449435,6.333333333333333,0
LEAD0088,Cold Call,Tech,Small,3400.0,6,18.9,North America,55,1,0.3121,1,1870.0,0.30150753768844224,7.857142857142857,0
LEAD0089,LinkedIn,Healthcare,Medium,16000.0,8,29.2,Europe,44,0,0.3032,0,7040.0,0.26490066225165565,4.888888888888889,0
LEAD0090,Email,Tech,Small,15800.0,6,3.2,North America,80,1,0.7771,1,12640.0,1.4285714285714286,11.428571428571429,0
LEAD0091,Website,Tech,Small,26500.0,6,16.2,North America,42,0,0.3938,0,11130.0,0.3488372093023256,6.0,0
LEAD0092,Cold Call,Tech,Small,29300.0,6,21.2,Europe,85,1,0.3841,0,24905.0,0.2702702702702703,12.142857142857142,0
LEAD0093,LinkedIn,Education,Small,28000.0,5,21.8,Europe,58,0,0.4486,1,16240.0,0.21929824561403508,9.666666666666666,0
LEAD0094,Email,Tech,Medium,12500.0,7,6.5,Europe,20,1,0.3038,1,2500.0,0.9333333333333333,2.5,0
LEAD0095,LinkedIn,Tech,Medium,22000.0,3,11.9,Europe,12,0,0.0602,0,2640.0,0.23255813953488372,3.0,0
LEAD0096,Email,Finance,Small,19200.0,5,9.7,Europe,51,2,0.2739,0,9792.0,0.4672897196261683,8.5,0
LEAD0097,Email,Education,Medium,12900.0,6,11.0,North America,82,1,0.595,1,10578.0,0.5,11.714285714285714,0
LEAD0098,Email,Tech,Medium,20200.0,8,4.1,Europe,80,1,0.8994,1,16160.0,1.5686274509803924,8.88888888888889,0
LEAD0099,Website,Finance,Small,60800.0,4,13.9,Asia-Pacific,58,2,0.7622,1,35264.0,0.2684563758389262,11.6,0
LEAD0100,Website,Tech,Small,6300.0,10,15.0,North America,40,0,0.4842,1,2520.0,0.625,3.6363636363636362,0
LEAD0101,Website,Finance,Large,49200.0,3,2.7,Europe,47,2,0.7885,1,23124.0,0.8108108108108107,11.75,0
LEAD0102,Cold Call,Healthcare,Medium,3100.0,4,7.1,North America,59,1,0.1775,1,1829.0,0.4938271604938272,11.8,0
LEAD0103,Website,Healthcare,Large,9400.0,7,6.7,North America,77,0,0.7934,0,7238.0,0.9090909090909091,9.625,0
LEAD0104,Email,Finance,Small,8800.0,6,16.7,Europe,66,0,0.5225,0,5808.0,0.33898305084745767,9.428571428571429,0
LEAD0105,LinkedIn,Finance,Medium,21700.0,8,13.3,South America,74,1,0.8975,1,16058.0,0.5594405594405594,8.222222222222221,0
LEAD0106,Website,Tech,Small,4800.0,3,7.9,South America,68,1,0.5558,1,3264.0,0.33707865168539325,17.0,0
LEAD0107,Email,Finance,Small,44800.0,9,12.8,North America,74,1,0.82,1,33152.0,0.6521739130434783,7.4,0
LEAD0108,LinkedIn,Tech,Medium,37300.0,8,3.8,Europe,10,2,0.6665,1,3730.0,1.6666666666666667,1.1111111111111112,0
LEAD0109,Website,Retail,Small,23100.0,3,3.3,Europe,37,2,0.3984,1,8547.0,0.6976744186046512,9.25,0
LEAD0110,Website,Manufacturing,Small,14300.0,7,3.4,North America,33,0,0.2958,1,4719.0,1.5909090909090908,4.125,0
LEAD0111,Website,Manufacturing,Small,56000.0,4,0.5,Asia-Pacific,31,0,0.5386,0,17360.0,2.6666666666666665,6.2,0
LEAD0112,Website,Education,Small,37500.0,5,14.2,Asia-Pacific,55,2,0.3513,0,20625.0,0.32894736842105265,9.166666666666666,0
LEAD0113,LinkedIn,Healthcare,Medium,15800.0,6,48.0,South America,26,1,0.2969,1,4108.0,0.12244897959183673,3.7142857142857144,0
LEAD0114,LinkedIn,Retail,Small,26200.0,5,4.5,North America,36,1,0.4787,1,9432.0,0.9090909090909091,6.0,0
LEAD0115,Cold Call,Tech,Small,18700.0,7,32.0,North America,53,0,0.0758,0,9911.0,0.21212121212121213,6.625,0
LEAD0116,LinkedIn,Healthcare,Small,19700.0,6,11.3,Asia-Pacific,23,1,0.2291,0,4531.0,0.4878048780487805,3.2857142857142856,0
LEAD0117,LinkedIn,Finance,Small,10000.0,7,3.2,Asia-Pacific,45,1,0.4086,1,4500.0,1.6666666666666665,5.625,0
LEAD0118,Website,Finance,Medium,14400.0,4,0.2,South America,68,0,0.8908,1,9792.0,3.3333333333333335,13.6,0
LEAD0119,LinkedIn,Retail,Small,3600.0,5,15.5,North America,30,1,0.1708,0,1080.0,0.30303030303030304,5.0,0
LEAD0120,Email,Tech,Medium,10800.0,4,14.4,Europe,71,0,0.4995,1,7668.0,0.2597402597402597,14.2,0
LEAD0121,LinkedIn,Finance,Small,25800.0,5,3.2,Europe,39,1,0.5826,1,10062.0,1.1904761904761905,6.5,0
LEAD0122,LinkedIn,Manufacturing,Small,63200.0,5,5.0,North America,60,0,0.7285,1,37920.0,0.8333333333333334,10.0,0
LEAD0123,Website,Tech,Large,68000.0,6,27.5,Europe,33,0,0.4578,0,22440.0,0.21052631578947367,4.714285714285714,0
LEAD0124,Website,Finance,Medium,18200.0,5,2.2,Europe,64,1,0.8482,1,11648.0,1.5625,10.666666666666666,0
LEAD0125,Website,Manufacturing,Small,20700.0,7,21.8,North America,49,0,0.4218,1,10143.0,0.30701754385964913,6.125,0
LEAD0126,Email,Healthcare,Medium,6100.0,6,2.3,North America,64,0,0.816,1,3904.0,1.8181818181818183,9.142857142857142,0
LEAD0127,LinkedIn,Healthcare,Small,25800.0,8,8.0,Europe,44,0,0.6133,1,11352.0,0.8888888888888888,4.888888888888889,0
LEAD0128,LinkedIn,Tech,Medium,3500.0,6,8.4,Europe,66,1,0.6765,0,2310.0,0.6382978723404255,9.428571428571429,0
LEAD0129,Website,Finance,Medium,8700.0,6,7.8,South America,72,0,0.7775,1,6264.0,0.6818181818181818,10.285714285714286,0
LEAD0130,Email,Education,Medium,24100.0,7,4.2,North America,57,0,0.2898,1,13737.0,1.346153846153846,7.125,0
LEAD0131,Email,Healthcare,Large,9400.0,4,3.6,North America,45,2,0.6389,1,4230.0,0.8695652173913044,9.0,0
LEAD0132,Website,Healthcare,Small,3000.0,8,16.0,Middle East,50,0,0.5756,0,1500.0,0.47058823529411764,5.555555555555555,0
LEAD0133,Website,Tech,Medium,37700.0,7,4.0,South America,30,0,0.692,1,11310.0,1.4,3.75,0
LEAD0134,Website,Tech,Small,9400.0,8,11.4,North America,59,0,0.5942,1,5546.0,0.6451612903225806,6.555555555555555,0
LEAD0135,Referral,Manufacturing,Small,3300.0,8,22.6,Asia-Pacific,67,2,0.901,1,2211.0,0.3389830508474576,7.444444444444445,0
LEAD0136,Website,Finance,Small,3600.0,6,21.9,North America,86,1,0.8175,1,3096.0,0.26200873362445415,12.285714285714286,0
LEAD0137,Email,Healthcare,Small,7800.0,6,2.3,North America,81,0,0.7083,1,6318.0,1.8181818181818183,11.571428571428571,0
LEAD0138,Cold Call,Tech,Medium,5900.0,6,12.9,North America,35,1,0.3515,0,2065.0,0.4316546762589928,5.0,0
LEAD0139,Email,Retail,Medium,31800.0,8,11.2,North America,59,1,0.6269,1,18762.0,0.6557377049180328,6.555555555555555,0
LEAD0140,Referral,Manufacturing,Medium,9800.0,4,4.1,Asia-Pacific,52,2,0.6895,1,5096.0,0.7843137254901962,10.4,0
LEAD0141,Referral,Healthcare,Small,34700.0,7,6.1,Asia-Pacific,79,1,0.8903,1,27413.0,0.9859154929577465,9.875,0
LEAD0142,Website,Tech,Small,5800.0,7,4.1,Middle East,41,0,0.4482,1,2378.0,1.3725490196078431,5.125,0
LEAD0143,Email,Healthcare,Large,15600.0,4,9.3,Asia-Pacific,73,1,0.6622,1,11388.0,0.3883495145631068,14.6,0
LEAD0144,Website,Retail,Small,25300.0,9,19.6,Europe,35,0,0.4886,1,8855.0,0.4368932038834951,3.5,0
LEAD0145,Website,Finance,Medium,23100.0,8,25.3,Asia-Pacific,53,1,0.5253,1,12243.0,0.3041825095057034,5.888888888888889,0
LEAD0146,Website,Education,Medium,20400.0,4,15.5,Middle East,37,1,0.411,0,7548.0,0.24242424242424243,7.4,0
LEAD0147,Cold Call,Healthcare,Medium,53800.0,5,8.0,Asia-Pacific,16,1,0.2683,0,8608.0,0.5555555555555556,2.6666666666666665,0
LEAD0148,Email,Education,Medium,7200.0,3,38.2,Asia-Pacific,37,0,0.0278,0,2664.0,0.07653061224489795,9.25,0
LEAD0149,Website,Healthcare,Large,15600.0,5,10.1,Middle East,50,0,0.3866,1,7800.0,0.45045045045045046,8.333333333333334,0
LEAD0150,Website,Tech,Small,45100.0,4,7.9,North America,84,0,0.8963,1,37884.0,0.449438202247191,16.8,0
LEAD0151,LinkedIn,Finance,Large,3600.0,6,23.4,Asia-Pacific,33,3,0.2854,0,1188.0,0.24590163934426232,4.714285714285714,0
LEAD0152,Website,Tech,Small,3200.0,7,2.5,South America,43,0,0.432,0,1376.0,2.0,5.375,0
LEAD0153,Website,Manufacturing,Small,7300.0,7,2.2,Middle East,26,1,0.4833,1,1898.0,2.1875,3.25,0
LEAD0154,Email,Retail,Small,22000.0,5,18.4,North America,78,0,0.6426,0,17160.0,0.2577319587628866,13.0,0
LEAD0155,Referral,Retail,Medium,8000.0,5,24.6,Europe,46,0,0.2503,0,3680.0,0.1953125,7.666666666666667,0
LEAD0156,Website,Finance,Small,6200.0,6,1.0,Asia-Pacific,48,0,0.6688,1,2976.0,3.0,6.857142857142857,0
LEAD0157,Cold Call,Tech,Small,14300.0,9,17.4,North America,48,1,0.4099,0,6864.0,0.48913043478260876,4.8,0
LEAD0158,LinkedIn,Retail,Small,21000.0,6,6.7,Europe,16,1,0.3663,0,3360.0,0.7792207792207793,2.2857142857142856,0
LEAD0159,Website,Finance,Large,7700.0,9,14.7,North America,26,1,0.403,0,2002.0,0.5732484076433121,2.6,0
LEAD0160,Cold Call,Tech,Medium,9200.0,3,1.8,North America,36,1,0.2273,0,3312.0,1.0714285714285714,9.0,0
LEAD0161,Email,Healthcare,Medium,21000.0,8,43.4,Europe,67,0,0.4332,0,14070.0,0.1801801801801802,7.444444444444445,0
LEAD0162,Cold Call,Tech,Medium,60300.0,12,25.7,Europe,5,1,0.1092,0,3015.0,0.449438202247191,0.38461538461538464,0
LEAD0163,Cold Call,Finance,Small,24500.0,5,6.3,Europe,66,1,0.2885,0,16170.0,0.684931506849315,11.0,0
LEAD0164,Email,Finance,Small,32500.0,7,27.0,Europe,62,1,0.3662,0,20150.0,0.25,7.75,0
LEAD0165,Website,Tech,Large,11100.0,4,27.1,North America,19,1,0.2937,0,2109.0,0.14234875444839856,3.8,0
LEAD0166,LinkedIn,Manufacturing,Small,8400.0,4,7.5,North America,49,0,0.445,1,4116.0,0.47058823529411764,9.8,0
LEAD0167,Website,Tech,Small,14100.0,2,35.3,North America,78,2,0.5016,0,10998.0,0.05509641873278237,26.0,0
LEAD0168,Website,Tech,Small,34900.0,4,45.3,North America,34,3,0.26,0,11866.0,0.08639308855291578,6.8,0
LEAD0169,Website,Tech,Small,14200.0,7,3.0,Europe,44,1,0.626,1,6248.0,1.75,5.5,0
LEAD0170,Email,Retail,Small,39500.0,4,0.9,Asia-Pacific,100,1,0.9736,1,39500.0,2.1052631578947367,20.0,1
LEAD0171,Cold Call,Finance,Medium,91800.0,3,4.9,North America,62,1,0.2911,0,56916.0,0.5084745762711864,15.5,0
LEAD0172,Website,Healthcare,Small,3500.0,7,8.2,North America,50,0,0.3483,1,1750.0,0.7608695652173914,6.25,0
LEAD0173,Email,Tech,Medium,2900.0,5,1.3,Asia-Pacific,45,0,0.5367,0,1305.0,2.173913043478261,7.5,0
LEAD0174,Website,Tech,Small,5200.0,4,1.9,North America,62,3,0.8273,1,3224.0,1.3793103448275863,12.4,0
LEAD0175,Cold Call,Finance,Small,11700.0,7,42.9,Middle East,69,1,0.1478,0,8073.0,0.15945330296127563,8.625,0
LEAD0176,Website,Education,Small,4800.0,3,16.1,Asia-Pacific,12,1,0.0625,0,576.0,0.17543859649122806,3.0,0
LEAD0177,Cold Call,Education,Medium,42900.0,4,25.0,North America,10,2,0.017,0,4290.0,0.15384615384615385,2.0,0
LEAD0178,Email,Tech,Small,2500.0,11,42.6,North America,35,2,0.1467,0,875.0,0.25229357798165136,2.9166666666666665,0
LEAD0179,Referral,Healthcare,Medium,9600.0,8,5.8,Europe,52,1,0.802,0,4992.0,1.1764705882352942,5.777777777777778,0
LEAD0180,Website,Manufacturing,Medium,6100.0,5,14.1,North America,57,0,0.5265,1,3477.0,0.33112582781456956,9.5,0
LEAD0181,Website,Finance,Medium,55600.0,2,2.5,North America,21,0,0.2247,0,11676.0,0.5714285714285714,7.0,0
LEAD0182,Website,Education,Small,24100.0,4,9.7,North America,51,2,0.4558,0,12291.0,0.3738317757009346,10.2,0
LEAD0183,LinkedIn,Tech,Small,50600.0,8,2.9,Asia-Pacific,54,2,0.6702,1,27324.0,2.0512820512820515,6.0,0
LEAD0184,LinkedIn,Manufacturing,Small,73700.0,8,2.2,Europe,38,1,0.6576,0,28006.0,2.5,4.222222222222222,0
LEAD0185,Website,Retail,Medium,15700.0,4,1.3,North America,44,0,0.4907,1,6908.0,1.7391304347826089,8.8,0
LEAD0186,Cold Call,Manufacturing,Small,7300.0,8,10.5,Asia-Pacific,40,1,0.3877,0,2920.0,0.6956521739130435,4.444444444444445,0
LEAD0187,LinkedIn,Retail,Medium,6300.0,3,36.0,Europe,64,0,0.1638,0,4032.0,0.08108108108108109,16.0,0
LEAD0188,Email,Finance,Large,7000.0,6,1.7,Europe,55,0,0.6206,1,3850.0,2.222222222222222,7.857142857142857,0
LEAD0189,Email,Manufacturing,Small,26700.0,3,8.5,North America,32,2,0.1339,0,8544.0,0.3157894736842105,8.0,0
LEAD0190,Website,Tech,Small,2800.0,5,14.0,Europe,74,0,0.778,1,2072.0,0.3333333333333333,12.333333333333334,0
LEAD0191,Website,Finance,Medium,3100.0,6,8.3,Middle East,28,1,0.251,1,868.0,0.6451612903225806,4.0,0
LEAD0192,LinkedIn,Retail,Small,20700.0,4,29.2,North America,21,0,0.1135,0,4347.0,0.13245033112582782,4.2,0
LEAD0193,LinkedIn,Retail,Small,22500.0,5,2.3,North America,50,1,0.7302,1,11250.0,1.5151515151515151,8.333333333333334,0
LEAD0194,Cold Call,Manufacturing,Large,23900.0,6,0.4,North America,50,1,0.6467,1,11950.0,4.285714285714286,7.142857142857143,0
LEAD0195,Website,Tech,Small,11300.0,3,5.9,North America,56,0,0.322,1,6328.0,0.43478260869565216,14.0,0
LEAD0196,Website,Retail,Large,34800.0,6,9.8,North America,31,1,0.4492,1,10788.0,0.5555555555555555,4.428571428571429,0
LEAD0197,Cold Call,Retail,Medium,17300.0,7,3.6,Asia-Pacific,73,0,0.5225,0,12629.0,1.5217391304347827,9.125,0
LEAD0198,LinkedIn,Tech,Medium,4200.0,3,2.3,South America,89,1,0.807,1,3738.0,0.9090909090909092,22.25,0
LEAD0199,LinkedIn,Finance,Small,33900.0,6,19.7,North America,55,1,0.5475,1,18645.0,0.2898550724637681,7.857142857142857,0
LEAD0200,LinkedIn,Tech,Small,63200.0,6,2.6,Europe,61,0,0.822,0,38552.0,1.6666666666666665,8.714285714285714,0
LEAD0201,Cold Call,Finance,Medium,3200.0,8,7.1,Europe,13,0,0.0521,0,416.0,0.9876543209876544,1.4444444444444444,0
LEAD0202,Website,Manufacturing,Small,11900.0,9,37.2,Europe,46,0,0.3954,0,5474.0,0.23560209424083767,4.6,0
LEAD0203,Website,Healthcare,Small,15400.0,8,11.5,Europe,41,0,0.6183,0,6314.0,0.64,4.555555555555555,0
LEAD0204,LinkedIn,Retail,Small,5200.0,5,8.4,North America,38,1,0.3414,0,1976.0,0.5319148936170213,6.333333333333333,0
LEAD0205,Cold Call,Manufacturing,Small,42500.0,8,5.5,Europe,42,1,0.1297,1,17850.0,1.2307692307692308,4.666666666666667,0
LEAD0206,Website,Finance,Small,8700.0,7,8.9,Europe,44,0,0.4579,1,3828.0,0.7070707070707071,5.5,0
